company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Apple,0.58,-0.220005,-3.409998,-1.17,1.680011,-2.689994,-1.469994,2.779997,-0.680003,-4.999995,6.709992999999999,-3.180006,-4.009998,-9.030006,0.56,-0.01,1.03001,-5.640009,-9.019993,2.360001
AIG,-0.6400020000000001,-0.65,-0.210001,-0.42,0.710001,-0.200001,-1.130001,0.069999,-0.119999,-0.5,0.200001,-0.1,-0.46000100000000005,-1.190001,-0.65,-1.300001,0.43,-1.69,-0.300001,-0.42
Amazon,-2.350006,1.260009,-2.350006,-2.009995,2.960006,-2.309997,-1.640007,1.209999,-1.7900009999999997,-2.039994,1.300003,-1.349998,-0.639999,-4.1699980000000005,-1.79,-1.079995,1.720001,1.599999,-4.36,-4.309997
American express,0.109997,0.0,0.260002,0.720002,0.190003,-0.27000100000000005,0.75,0.300004,0.639999,-0.130001,0.719997,0.05,-0.830002,-2.7700009999999997,-1.3099969999999999,0.5599970000000001,0.7099989999999999,-1.239998,0.060002,0.36999899999999997
Boeing,0.459999,1.77,1.549999,2.690003,0.059997,-1.0800020000000001,0.36,0.549999,0.5300020000000001,-0.709999,0.050004,-0.130001,-1.099998,-0.849999,-0.569999,0.169998,3.09,0.409999,-2.200001,0.9599989999999999
Bank of America,0.45,0.46000100000000005,0.18,0.25,-0.199999,-0.06,-0.359998,0.190001,0.190001,-0.379999,0.26000100000000004,0.27000100000000005,-0.989999,-0.36,-0.18,-0.17,0.48,-0.03,-0.31,0.16
British American Tobacco,0.18,0.22000100000000003,0.040001,0.25,-0.360001,-0.099999,0.57,-0.139999,0.260002,-0.150002,0.24000500000000002,0.089996,-0.7099989999999999,-0.32,0.419998,0.339996,0.31000500000000003,-0.909996,-0.150001,0.230004
Canon,0.73,0.36999899999999997,-0.099999,-0.169999,0.030003,0.110001,-0.079998,0.14,0.389999,-0.130001,0.900001,-0.16,-0.100003,-0.25,0.300003,0.089996,0.239997,-0.59,-0.389999,0.149997
Caterpillar,0.8999969999999999,0.700001,0.25,0.369999,1.09,3.179996,-0.769996,0.230004,-0.11999800000000001,-1.330002,1.170002,-0.41,-2.650002,-2.330002,-0.020000999999999998,0.8599959999999999,0.48,-1.959999,-0.5399970000000001,0.119999
Colgate-Palmolive,0.36,0.9099959999999999,-0.290001,-0.059998,1.300003,0.510003,1.050003,0.529999,-0.360001,-0.540001,0.5599970000000001,-0.910004,-1.1699979999999999,1.6599959999999998,-0.659996,0.519996,0.0,-0.720001,-0.44000200000000006,-0.479996
ConocoPhillips,0.809991,-0.020006,0.340003,0.089988,0.650006,0.029999,-0.569995,0.549994,0.32000100000000004,0.19,1.259998,0.25000300000000003,-0.789999,-1.399997,-0.209992,0.099996,-0.6199899999999999,-1.689993,-0.650005,0.619996
Cisco,0.58,-0.02,-0.120001,0.230002,0.280001,-0.049999,-0.24,0.359998,0.370001,-0.6,0.30999899999999997,-0.21000100000000002,-0.53,-0.870001,-0.11,0.10000099999999999,0.26000100000000004,-0.66,-0.48000200000000004,0.08
Chevron,0.860001,0.400002,0.189995,-0.029999,0.349998,0.7099989999999999,0.890007,-0.469994,-0.07999400000000001,-0.309998,0.720001,-0.5599970000000001,-1.910004,-1.390007,-0.599999,0.07,-0.24000500000000002,-0.730003,-1.4099959999999998,0.8800049999999999
DuPont de Nemours,0.279997,-0.420001,0.190002,0.500001,-0.340001,-0.050002,0.0,0.209999,-0.270003,0.0,0.900001,-0.189998,-1.359998,-0.500001,-0.18,0.259999,0.08,-0.700001,0.160001,0.540003
Dell,-0.08,0.1,-0.17,0.15,0.05,0.0,0.23,-0.04,-0.25,-0.47,0.42,-0.22,-0.17,-0.645,0.15,-0.23,0.02,-0.29,-0.45,0.24
Ford,0.11,0.51,0.16,0.2,0.02,0.21,-0.11,-0.23,0.11,-0.14,0.24,-0.17,-0.35,-0.49,0.3,0.02,-0.02,-0.49,-0.76,-0.02
General Electrics,0.23,0.07,-0.08,0.77,0.290001,-0.07,0.19,0.07,-0.09,-0.239999,0.190001,0.0,-0.449999,-0.43999799999999994,-0.08999800000000001,0.02,0.009998,-0.27,-0.139999,0.049999
Google/Alphabet,-0.199995,-3.189984,-17.599998,-15.299992999999999,10.02,-3.3499790000000003,-7.170008,10.599985,5.949977,-13.340041000000001,6.419965,-5.570047,-0.460049,-14.490013000000001,-6.590022,4.450014,0.8299799999999999,-10.199995,-8.550036,-1.580023
Goldman Sachs,3.029999,3.139999,-1.12001,3.349991,-2.020004,-3.5,-2.189988,1.060012,0.529999,-2.389999,1.850006,1.9899900000000001,-8.419998,-4.570007,-1.150009,-4.029999,0.75,-0.940003,-5.720001,3.309998
GlaxoSmithKline,-0.110001,-0.16,-0.220001,0.079998,0.039997,0.150001,0.239998,0.079998,0.090001,-0.229999,0.469997,-0.059998,-0.740001,-0.38000100000000003,-0.130001,0.18,-0.170002,-0.670002,-0.25,0.16
Home Depot,-0.48,0.149999,-0.099998,0.26,-0.02,-0.84,-0.17,0.129999,0.179998,0.260001,0.42,-0.040001,-0.149999,-0.520001,-0.33,0.23,0.21999899999999997,-0.59,0.44,0.379999
Honda,0.439999,0.200001,0.180001,0.189999,0.25,0.27,-0.130001,0.380001,0.049999,-0.129997,0.120003,-0.700001,-0.24000100000000002,-0.38000100000000003,0.080001,0.099998,0.27000100000000005,-0.509999,-0.68,-0.030001999999999997
HP,0.9100020000000001,0.53,-0.349997,0.01,0.489999,-0.149998,-0.060001,0.020001,0.279996,-0.119998,0.650001,-0.049997,-1.12,-1.720002,0.510004,-0.35999699999999996,-0.32000100000000004,-1.61,-1.299999,0.45999799999999996
IBM,1.2700040000000001,-0.829987,-0.679993,-0.319992,1.779999,-1.5800020000000001,1.4799959999999999,-0.160003,1.759995,-0.25,2.509994,-0.21000700000000003,-1.4700010000000001,-3.169998,-0.209999,-0.169998,0.5100020000000001,-3.279999,-1.9300009999999999,1.4399950000000001
Intel,0.08999800000000001,-0.07,-0.01,-0.13,0.289999,-0.16,-0.26,0.24,0.36999899999999997,-0.59,0.149999,0.09,-0.31,-0.86,0.08,-0.18,0.24,-0.379999,-0.729999,0.140002
